project_id,month,treat,post,matched_pair_id,age_years_pre,activity_pre,star_growth_pre,propensity_score,contributors,release_freq,new_sponsors,revenue_growth_rate,monthly_revenue_usd
P0002,2024-01,1,0,6,1,2.56,0.329,0.5097,28,2.37,4,0.1526,1675.26
P0002,2024-02,1,0,6,1,2.56,0.329,0.5097,29,2.33,3,0.1952,1737.18
P0002,2024-03,1,0,6,1,2.56,0.329,0.5097,30,2.04,4,0.163,1690.37
P0002,2024-04,1,0,6,1,2.56,0.329,0.5097,33,2.3,4,0.161,1687.47
P0002,2024-05,1,0,6,1,2.56,0.329,0.5097,31,2.73,6,0.2684,1843.57
P0002,2024-06,1,0,6,1,2.56,0.329,0.5097,31,2.5,5,0.1637,1691.39
P0002,2024-07,1,0,6,1,2.56,0.329,0.5097,35,2.34,6,0.2013,1746.04
P0002,2024-08,1,0,6,1,2.56,0.329,0.5097,27,2.45,6,0.2123,1762.03
P0002,2024-09,1,0,6,1,2.56,0.329,0.5097,33,2.77,7,0.1773,1711.16
P0002,2024-10,1,1,6,1,2.56,0.329,0.5097,31,2.24,8,0.2395,1801.56
P0002,2024-11,1,1,6,1,2.56,0.329,0.5097,36,2.72,10,0.281,1861.88
P0002,2024-12,1,1,6,1,2.56,0.329,0.5097,31,2.36,7,0.2512,1818.57
P0002,2025-01,1,1,6,1,2.56,0.329,0.5097,32,2.57,11,0.2319,1790.52
P0002,2025-02,1,1,6,1,2.56,0.329,0.5097,30,2.81,12,0.285,1867.7
P0002,2025-03,1,1,6,1,2.56,0.329,0.5097,34,2.43,14,0.254,1822.64
P0002,2025-04,1,1,6,1,2.56,0.329,0.5097,32,2.53,9,0.2835,1865.52
P0002,2025-05,1,1,6,1,2.56,0.329,0.5097,31,2.14,11,0.2784,1858.1
P0002,2025-06,1,1,6,1,2.56,0.329,0.5097,31,2.3,10,0.2548,1823.8
P0002,2025-07,1,1,6,1,2.56,0.329,0.5097,37,2.53,10,0.3024,1892.99
P0002,2025-08,1,1,6,1,2.56,0.329,0.5097,33,2.46,13,0.3245,1925.11
P0002,2025-09,1,1,6,1,2.56,0.329,0.5097,34,2.32,11,0.2441,1808.25
P0002,2025-10,1,1,6,1,2.56,0.329,0.5097,33,2.36,11,0.2562,1825.84
P0002,2025-11,1,1,6,1,2.56,0.329,0.5097,40,2.69,10,0.3084,1901.71
P0002,2025-12,1,1,6,1,2.56,0.329,0.5097,34,2.35,11,0.2946,1881.65
P0003,2024-01,1,0,9,3,9.25,0.204,0.5659,22,1.01,5,0.0967,2280.15
P0003,2024-02,1,0,9,3,9.25,0.204,0.5659,27,1.57,3,0.1473,2385.35
P0003,2024-03,1,0,9,3,9.25,0.204,0.5659,24,1.66,2,0.1452,2380.99
P0003,2024-04,1,0,9,3,9.25,0.204,0.5659,23,1.32,4,0.226,2548.98
P0003,2024-05,1,0,9,3,9.25,0.204,0.5659,24,1.44,5,0.1792,2451.67
P0003,2024-06,1,0,9,3,9.25,0.204,0.5659,19,1.41,1,0.079,2243.35
P0003,2024-07,1,0,9,3,9.25,0.204,0.5659,29,1.58,4,0.1788,2450.84
P0003,2024-08,1,0,9,3,9.25,0.204,0.5659,25,1.19,5,0.1336,2356.87
P0003,2024-09,1,0,9,3,9.25,0.204,0.5659,25,1.44,3,0.1794,2452.09
P0003,2024-10,1,0,9,3,9.25,0.204,0.5659,23,1.2,2,0.1286,2346.47
